reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note	added_on
ぺとら	PetraGurin	人名	人名	人名	upstream			
ぴくしぶ	pixiv	名詞	名詞	名詞	upstream			
ぽむれいんぱふ	PomuRainpuff	人名	人名	人名	upstream			
ぽむ	PomuRainpuff	人名	人名	人名	upstream			
ぴーまるさま	P丸様。	人名	人名	人名	upstream			
らいがりれい	RaiGalilei	人名	人名	人名	upstream			
らい	RaiGalilei	人名	人名	人名	upstream			
らおーらぱんてーら	RaoraPanthera	人名	人名	人名	upstream			
らおーら	RaoraPanthera	人名	人名	人名	upstream			
りあくと	Re:AcT	人名	人名	人名	upstream			
りありてぃ	REALITY	名詞	名詞	名詞	upstream			
れありてぃ	REALITY	名詞	名詞	名詞	upstream			
れいむえんどう	ReimuEndou	人名	人名	人名	upstream			
れいむ	ReimuEndou	人名	人名	人名	upstream			
はーどごあれいな	ReinaHardgore	人名	人名	人名	upstream			
れいな	ReinaHardgore	人名	人名	人名	upstream			
れんぞっと	RenZotto	人名	人名	人名	upstream			
れん	RenZotto	人名	人名	人名	upstream			
れざあふぁんるな	RezaAvanluna	人名	人名	人名	upstream			
れざ	RezaAvanluna	人名	人名	人名	upstream			
りくさでぃらんどら	RiksaDhirendra	人名	人名	人名	upstream			
りくさ	RiksaDhirendra	人名	人名	人名	upstream			
ろぜみらぶろっく	RosemiLovelock	人名	人名	人名	upstream			
ろぜみ	RosemiLovelock	人名	人名	人名	upstream			
すずきまさるこ	Ruco	人名	人名	人名	upstream			
まさる	Ruco	人名	人名	人名	upstream			
りょうまばれんうぉーと	RyomaBarrenwort	人名	人名	人名	upstream			
りょうま	RyomaBarrenwort	人名	人名	人名	upstream			
あーるおじいちゃん	Rおじいちゃん	人名	人名	人名	upstream			
あーる	Rおじいちゃん	人名	人名	人名	upstream			
さくらめい	SakuraMay	人名	人名	人名	upstream			
さっぴーすたー	SapphyStars	人名	人名	人名	upstream			
すかーれよなぐに	ScarleYonaguni	人名	人名	人名	upstream			
すかーれ	ScarleYonaguni	人名	人名	人名	upstream			
せふぃな	Seffyna	人名	人名	人名	upstream			
せいぶる	Seible	人名	人名	人名	upstream			
せれんたつき	SelenTatsuki	人名	人名	人名	upstream			
せれん	SelenTatsuki	人名	人名	人名	upstream			
たつき	SelenTatsuki	人名	人名	人名	upstream			
しおりのゔぇら	ShioriNovella	人名	人名	人名	upstream			
のゔぇら	ShioriNovella	人名	人名	人名	upstream			
しゅうやみの	ShuYamino	人名	人名	人名	upstream			
しゅう	ShuYamino	人名	人名	人名	upstream			
やみの	ShuYamino	人名	人名	人名	upstream			
しゃいりりー	Shylily	人名	人名	人名	upstream			
りりー	Shylily	人名	人名	人名	upstream			
しすかれおんたいん	SiskaLeontyne	人名	人名	人名	upstream			
しすか	SiskaLeontyne	人名	人名	人名	upstream			
すなっふぃー	Snuffy	人名	人名	人名	upstream			
そらりすかるねゔぁーれ	Solariscarnevale	人名	人名	人名	upstream			
そらりす	Solariscarnevale	人名	人名	人名	upstream			
そむにあ	somunia	人名	人名	人名	upstream			
そんみあ	SongMia	人名	人名	人名	upstream			
さにーぶりすこ	SonnyBrisko	人名	人名	人名	upstream			
さにー	SonnyBrisko	人名	人名	人名	upstream			
たかなしきあら	TakanashiKiara	人名	人名	人名	upstream			
きあら	TakanashiKiara	人名	人名	人名	upstream			
たからでぃまん	TakaRadjiman	人名	人名	人名	upstream			
たか	TakaRadjiman	人名	人名	人名	upstream			
といろ	toiro	人名	人名	人名	upstream			
つくもさな	TsukumoSana	人名	人名	人名	upstream			
さな	TsukumoSana	人名	人名	人名	upstream			
とぅいすてぃーあまのざこ	TwistyAmanozako	人名	人名	人名	upstream			
とぅいすてぃあまのざこ	TwistyAmanozako	人名	人名	人名	upstream			
とぅいすてぃ	TwistyAmanozako	人名	人名	人名	upstream			
あまのざこ	TwistyAmanozako	人名	人名	人名	upstream			
うきゔぃおれた	UkiVioleta	人名	人名	人名	upstream			
うき	UkiVioleta	人名	人名	人名	upstream			
うま	uma	人名	人名	人名	upstream			
あんりみ	Unlimited	名詞	名詞	名詞	upstream			
あっぷでーと	upd8	名詞	名詞	名詞	upstream			
ゔぇんたくろーぶりんがー	VantacrowBringer	人名	人名	人名	upstream			
ゔぇんたくろー	VantacrowBringer	人名	人名	人名	upstream			
ゔぃーみゅーじっく	VEEMusic	名詞	名詞	名詞	upstream			
ゔぇえみゅーじっく	VEEMusic	名詞	名詞	名詞	upstream			
ゔぇーみゅーじっく	VEEMusic	名詞	名詞	名詞	upstream			
ゔぃーなすあんじぇりっく	VenusAngelic	人名	人名	人名	upstream			
ゔぇーるゔぁーみりおん	VerVermillion	人名	人名	人名	upstream			
ゔぇーる	VerVermillion	人名	人名	人名	upstream			
ゔぇすぱーべる	VESPERBELL	人名	人名	人名	upstream			
ゔぇすてぃあぜーた	VestiaZeta	人名	人名	人名	upstream			
ぜーた	VestiaZeta	人名	人名	人名	upstream			
ゔぇざりうすばんてーじ	VezaliusBandage	人名	人名	人名	upstream			
ゔぇざりうすばんでーじ	VezaliusBandage	人名	人名	人名	upstream			
ゔぇざりうす	VezaliusBandage	人名	人名	人名	upstream			
ゔぃくとりあぶらいとしーるど	VictoriaBrightshield	人名	人名	人名	upstream			
ゔぃくとりあ	VictoriaBrightshield	人名	人名	人名	upstream			
びはん	Vihaan	人名	人名	人名	upstream			
ばーちゃるきゃすと	VirtualCast	人名	人名	人名	upstream			
ゔぉっくすあくま	VoxAkuma	人名	人名	人名	upstream			
ゔぉっくす	VoxAkuma	人名	人名	人名	upstream			
にーつ	VT-212	人名	人名	人名	upstream			
にいみ	VT-213	人名	人名	人名	upstream			
にーみ	VT-213	人名	人名	人名	upstream			
にいし	VT-214	人名	人名	人名	upstream			
にーし	VT-214	人名	人名	人名	upstream			
かれん	vtuber可憐	人名	人名	人名	upstream			
わとそんあめりあ	WatsonAmelia	人名	人名	人名	upstream			
あめりあ	WatsonAmelia	人名	人名	人名	upstream			
わとそん	WatsonAmelia	人名	人名	人名	upstream			
うぃーく	we◡ek	人名	人名	人名	upstream			
あいり	WEATHEROIDTypeAAiri	人名	人名	人名	upstream			
ぽんこ	WEATHEROIDTypeAAiri	人名	人名	人名	upstream			
ほわいとほーる	WHITEHOLE	人名	人名	人名	upstream			
くろすふれあ	X'Flare	人名	人名	人名	upstream			
ふれあ	X'Flare	人名	人名	人名	upstream			
しあえかふぃら	XiaEkavira	人名	人名	人名	upstream			
しあ	XiaEkavira	人名	人名	人名	upstream			
あべ	YoidoreAbe	人名	人名	人名	upstream			
ゆあ	YUA	人名	人名	人名	upstream			
ゆうごあすま	YugoAsuma	人名	人名	人名	upstream			
ゆうご	YugoAsuma	人名	人名	人名	upstream			
ゆいかい	Yuikai	人名	人名	人名	upstream			
ゆに	YuNi	人名	人名	人名	upstream			
ゆうきゅううぃるそん	YuQ.Wilson	人名	人名	人名	upstream			
ゆうくぃるそん	YuQ.Wilson	人名	人名	人名	upstream			
ゆう	YuQ.Wilson	人名	人名	人名	upstream			
ざいおんらんざー	ZaionLanZa	人名	人名	人名	upstream			
ざいおんらんざ	ZaionLanZa	人名	人名	人名	upstream			
ざいおん	ZaionLanZa	人名	人名	人名	upstream			
